                       name                      |            domainFqdn             |       vcenterHost        |                    id                    | activated | autoDsMapping |     clientVersion      
  vdc-a6-alc02-proxy1-v19-4-btrfs.vdc.adm        | /PROXIES/vdc-vcsalres01.vdc.adm   | vdc-vcsalres01.vdc.adm   | 6a236d42ae3aadbf28db04786fdc01a86be00319 | true      | true          | 19.4.100-116_HF327646  
  vdc-a6-jcc02-proxy1-v19-4-btrfs.vdc.adm        | /PROXIES/vdc-vcsjcres01.vdc.adm   | vdc-vcsjcres01.vdc.adm   | d0259253dd4cc3fee52f722a1a4645396614d5b9 | true      | true          | 19.4.100-116_HF327646  
  vdc-a6-alc07-proxy1-v19-4-btrfs.vdc.adm        | /PROXIES/vdc-vcsalres02.vdc.adm   | vdc-vcsalres02.vdc.adm   | 0a5af407be4333dfdc174fc97e01726396a6310a | true      | true          | 19.4.100-116_HF327646  
  vdc-a6-alc05-proxy2-v19-4-btrfs.vdc.adm        | /PROXIES/vdc-vcsalres01.vdc.adm   | vdc-vcsalres01.vdc.adm   | d0b12887a8582ea6372ce0f92309e668e6c68a19 | true      | true          | 19.4.100-116_HF327646  
  vdc-a6-alc10-proxy2-v19-4-btrfs.vdc.adm        | /PROXIES/vdc-vcsalres03.vdc.adm   | vdc-vcsalres03.vdc.adm   | 73f23602f680dada0c046db969d4d1cc1f4beca0 | true      | true          | 19.4.100-116_HF327646  
  vdc-a6-alc10-proxy1-v19-4-btrfs.vdc.adm        | /PROXIES/vdc-vcsalres03.vdc.adm   | vdc-vcsalres03.vdc.adm   | 7e5991902ed41b59a2e49bc5d07dd8c045866546 | true      | true          | 19.4.100-116_HF327646  
  vdc-a6-alc07-proxy2-v19-4-btrfs.vdc.adm        | /PROXIES/vdc-vcsalres02.vdc.adm   | vdc-vcsalres02.vdc.adm   | 1eb14a86f14380ee7f88dc98e6202e6d87ba2975 | true      | true          | 19.4.100-116_HF327646  
  vdc-a6-jcc07-proxy1-v19-4-btrfs.vdc.adm        | /PROXIES/vdc-vcsjcres03.vdc.adm   | vdc-vcsjcres03.vdc.adm   | ba7f1035108fccef91fd30dc9284717fc82a2bf5 | true      | true          | 19.4.100-116_HF327646  
  vdc-a6-alc09-proxy1-v19-4-btrfs.vdc.adm        | /PROXIES/vdc-vcsalres02.vdc.adm   | vdc-vcsalres02.vdc.adm   | 1ab7c063446880d564ffa4698a6b872252c2fc04 | true      | true          | 19.4.100-116_HF327646  
  vdc-a6-alc01-proxy2-v19-4-btrfs.vdc.adm        | /PROXIES/vdc-vcsalmgt01.vdc.adm   | vdc-vcsalmgt01.vdc.adm   | 2c6c4e1dae6386f4c9abec2b90d2aa340aae481c | true      | true          | 19.4.100-116_HF327646  
  vdc-a6-jcc01-proxy3-v19-4.vdc.adm              | /PROXIES/vdc-vcsjcmgt01.vdc.adm   | vdc-vcsjcmgt01.vdc.adm   | c5d09cfb712ed503e38fec69e8dd5005ec7f4c0f | true      | false         | 19.4.100-116           
  vdc-a6-jcc05-proxy2-v19-4-btrfs.vdc.adm        | /PROXIES/vdc-vcsjcres02.vdc.adm   | vdc-vcsjcres02.vdc.adm   | f327f0e1c32d3df1f98d6c18c8e603311656cabf | true      | true          | 19.4.100-116_HF327646  
  vdc-a6-jcc06-proxy1-v19-4-btrfs.vdc.adm        | /PROXIES/vdc-vcsjcres02.vdc.adm   | vdc-vcsjcres02.vdc.adm   | 5883b251ebc834d250d7ace82a3c11c591210d1a | true      | true          | 19.4.100-116_HF327646  
  vdc-a6-alc08-proxy1-v19-4-btrfs.vdc.adm        | /PROXIES/vdc-vcsalres02.vdc.adm   | vdc-vcsalres02.vdc.adm   | 13abb6e6f6b6a0559ca8f3bd9208e2d1657365cf | true      | true          | 19.4.100-116_HF327646  
  vdc-a6-jcc05-proxy1-v19-4-btrfs.vdc.adm        | /PROXIES/vdc-vcsjcres02.vdc.adm   | vdc-vcsjcres02.vdc.adm   | 142f6b0c555281974bbfac2bc3242d173b64f993 | true      | true          | 19.4.100-116_HF327646  
  vdc-a6-jcc06-proxy2-v19-4-btrfs.vdc.adm        | /PROXIES/vdc-vcsjcres02.vdc.adm   | vdc-vcsjcres02.vdc.adm   | 77c1d50c7201bd9427f450f38005b93d65d34f51 | true      | true          | 19.4.100-116_HF327646  
  vdc-a6-jcc05-proxy4-v19-4.vdc.adm              | /PROXIES/vdc-vcsjcres02.vdc.adm   | vdc-vcsjcres02.vdc.adm   | 7109b187a5e3aecaf55212562a6b502360ffa4fc | true      | true          | 19.4.100-116_HF327646  
  vdc-a6-jcc08-proxy1-v19-4-btrfs.vdc.adm        | /PROXIES/vdc-vcsjcres03.vdc.adm   | vdc-vcsjcres03.vdc.adm   | 1444c1dc36b45d491ed4e2780fd170273ef4990c | true      | true          | 19.4.100-116_HF327646  
  vdc-a6-saphanaalc02-proxy1-v19-4-btrfs.vdc.adm | /PROXIES/vdc-vcsalres04.vdc.adm   | vdc-vcsalres04.vdc.adm   | a3f57b98dcc95f4a291333decb3589b1b8f2275b | true      | true          | 19.4.100-116_HF327646  
  vdcf-a6-fussev02-proxy1-v19-4.vdc.adm          | /PROXIES/vdcf-vcsres01s01.vdc.adm | vdcf-vcsres01s01.vdc.adm | 4beaf9588fb4e7276442c66cfb1249badf394366 | true      | true          | 19.4.100-116_HF327646  
  vdcf-a6-fussev02-proxy2-v19-4.vdc.adm          | /PROXIES/vdcf-vcsres01s01.vdc.adm | vdcf-vcsres01s01.vdc.adm | deb34d367e90695a6da66df20b91c74ea654a7ed | true      | true          | 19.4.100-116_HF327646  
  vdc-a6-jcc07-proxy2-v19-4-btrfs.vdc.adm        | /PROXIES/vdc-vcsjcres03.vdc.adm   | vdc-vcsjcres03.vdc.adm   | af5162692dbf3b2f3ac088476d7c25bc08544f11 | true      | true          | 19.4.100-116_HF327646  
  vdc-a6-alc09-proxy2-v19-4-btrfs.vdc.adm        | /PROXIES/vdc-vcsalres02.vdc.adm   | vdc-vcsalres02.vdc.adm   | 88417722cf4e02eb3d292c32b9963e5c80fff985 | true      | true          | 19.4.100-116_HF327646  
  vdc-a6-alc01-proxy1-v19-4-btrfs.vdc.adm        | /PROXIES/vdc-vcsalmgt01.vdc.adm   | vdc-vcsalmgt01.vdc.adm   | 65f0255b146ca477186994c7d91349ad093a228e | true      | true          | 19.4.100-116_HF327646  
  vdc-a6-jcc04-proxy1-v19-4-btrfs.vdc.adm        | /PROXIES/vdc-vcsjcres01.vdc.adm   | vdc-vcsjcres01.vdc.adm   | 4b004f08ffe186d7797961c6edcc41d0a305b978 | true      | true          | 19.4.100-116_HF327646  
  vdc-a6-alc11-proxy1-v19-4-btrfs.vdc.adm        | /PROXIES/vdc-vcsalres03.vdc.adm   | vdc-vcsalres03.vdc.adm   | 3f942cf5681d3d5382f653eb3fd1b733d41df302 | true      | true          | 19.4.100-116_HF327646  
  vdc-a6-jcc03-proxy2-v19-4-btrfs.vdc.adm        | /PROXIES/vdc-vcsjcres01.vdc.adm   | vdc-vcsjcres01.vdc.adm   | fef7734d97c8609cfcd67fe5f5c12e85c0cc191a | true      | true          | 19.4.100-116_HF327646  
  vdc-a6-alc03-proxy1-v19-4-btrfs.vdc.adm        | /PROXIES/vdc-vcsalres01.vdc.adm   | vdc-vcsalres01.vdc.adm   | 184f55f79a8b9b28bb85cba7d81c3f2cd9022640 | true      | true          | 19.4.100-116_HF327646  
  vdc-a6-alc05-proxy1-v19-4-btrfs.vdc.adm        | /PROXIES/vdc-vcsalres01.vdc.adm   | vdc-vcsalres01.vdc.adm   | 6e051bfcab8c424c6e32907be9984f05cb93631e | true      | true          | 19.4.100-116_HF327646  
  vdc-a6-alc02-proxy2-v19-4-btrfs.vdc.adm        | /PROXIES/vdc-vcsalres01.vdc.adm   | vdc-vcsalres01.vdc.adm   | 6a39850f08e35fa6c39bd98d014bcc52d4cd3846 | true      | true          | 19.4.100-116_HF327646  
  vdc-a6-jcc01-proxy2-v19-4.vdc.adm              | /PROXIES/vdc-vcsjcmgt01.vdc.adm   | vdc-vcsjcmgt01.vdc.adm   | bb9b750fc28b62cedfe48c2c0a6a4bb4b6161894 | true      | true          | 19.4.100-116_HF327646  
